Distanța (km),Nivel trafic,Ora livrării,Ziua săptămânii,Tip vehicul,Grad de încărcare,Durata estimată (min)
19.04,3.0,12.6,Joi,Scuter,0.48,57
47.56,,11.99,Sâmbătă,Scuter,0.33,149
36.73,5.0,9.64,Vineri,Camion,0.99,208
30.13,3.0,16.11,Vineri,Scuter,0.37,95
8.22,,14.15,Joi,Dubiță,0.39,42
8.22,1.0,19.99,Joi,Dubiță,0.99,11
3.38,4.0,7.48,Sâmbătă,Camion,0.22,15
43.38,4.0,16.66,Miercuri,Scuter,0.78,205
30.26,2.0,18.44,Duminică,Dubiță,0.94,62
35.55,3.0,18.39,Sâmbătă,Dubiță,0.56,81
1.52,2.0,20.29,Miercuri,Bicicletă,0.1,14
48.51,4.0,17.94,Miercuri,Camion,0.44,160
41.71,3.0,20.92,Miercuri,Dubiță,0.2,95
11.01,4.0,11.99,Sâmbătă,Dubiță,0.47,24
9.5,2.0,14.55,Luni,Camion,0.81,22
9.58,2.0,7.21,Luni,Scuter,0.49,27
15.56,1.0,7.1,Vineri,Camion,0.49,21
26.48,3.0,10.6,Luni,Bicicletă,0.6,181
21.88,3.0,8.51,Luni,Bicicletă,0.62,140
14.92,5.0,10.9,Miercuri,Bicicletă,0.87,207
30.79,4.0,9.66,Miercuri,Dubiță,0.38,78
7.4,3.0,7.43,Joi,Scuter,0.84,34
14.96,5.0,20.64,Miercuri,Bicicletă,0.61,200
18.63,4.0,7.12,Sâmbătă,Camion,0.37,71
23.08,5.0,18.04,Joi,Bicicletă,0.37,301
39.37,3.0,9.28,Duminică,Dubiță,0.43,88
10.38,2.0,20.68,Joi,Bicicletă,0.66,53
25.95,1.0,20.39,Luni,Scuter,0.31,50
29.82,4.0,16.81,Miercuri,Bicicletă,0.93,286
2.8,2.0,17.08,Luni,Scuter,0.62,7
30.57,3.0,7.08,Miercuri,Scuter,0.93,102
8.94,3.0,21.77,Luni,Camion,0.14,13
3.72,3.0,20.17,Duminică,Scuter,0.41,7
47.47,4.0,20.43,Luni,Dubiță,0.12,139
48.3,2.0,16.89,Luni,Dubiță,0.35,94
40.52,,12.17,Sâmbătă,Scuter,0.88,144
15.58,4.0,20.4,Duminică,Scuter,0.13,65
5.33,5.0,11.37,Vineri,Bicicletă,0.49,69
34.37,4.0,15.44,Duminică,Bicicletă,0.21,282
22.29,5.0,8.5,Luni,Camion,0.48,117
6.54,4.0,20.83,Marți,Bicicletă,0.85,71
25.01,3.0,9.11,Marți,Dubiță,0.66,52
2.2,2.0,10.37,Marți,Bicicletă,0.76,12
45.51,4.0,15.37,Sâmbătă,Camion,0.41,145
13.31,4.0,18.46,Joi,Camion,0.95,45
33.29,4.0,16.29,Luni,Scuter,0.74,159
15.93,3.0,10.48,Duminică,Camion,0.48,33
26.24,3.0,7.01,Marți,Scuter,0.48,89
27.56,3.0,18.36,Sâmbătă,Dubiță,0.93,69
9.65,3.0,21.78,Joi,Dubiță,0.62,21
48.49,2.0,19.15,Marți,Bicicletă,0.74,272
38.87,4.0,13.9,Miercuri,Camion,0.48,129
47.01,2.0,20.56,Vineri,Dubiță,0.3,86
44.79,,13.15,Luni,Scuter,0.75,95
30.1,3.0,14.87,Vineri,Camion,0.65,75
46.13,,14.16,Vineri,Camion,0.55,153
4.88,3.0,13.71,Miercuri,Scuter,0.66,5
10.2,2.0,18.63,Miercuri,Camion,0.29,14
2.74,3.0,14.9,Miercuri,Camion,0.81,5
16.6,3.0,11.75,Joi,Dubiță,0.95,44
19.74,5.0,10.87,Marți,Scuter,0.9,136
13.93,5.0,7.57,Duminică,Dubiță,0.39,56
41.52,3.0,15.75,Luni,Scuter,0.47,140
18.16,3.0,10.45,Miercuri,Bicicletă,0.83,119
14.41,4.0,9.22,Sâmbătă,Camion,0.64,38
27.36,1.0,16.81,Luni,Camion,0.59,44
7.48,3.0,17.22,Duminică,Dubiță,0.93,11
40.21,3.0,18.28,Luni,Camion,0.58,94
4.19,5.0,14.55,Luni,Camion,0.56,24
49.35,1.0,20.41,Miercuri,Dubiță,0.14,72
38.73,3.0,21.05,Miercuri,Dubiță,0.16,84
10.34,4.0,19.11,Marți,Scuter,0.11,48
0.77,3.0,16.53,Duminică,Bicicletă,0.92,12
40.87,1.0,11.56,Miercuri,Dubiță,0.47,49
35.49,5.0,21.74,Miercuri,Scuter,0.52,237
36.59,3.0,11.11,Luni,Dubiță,0.86,83
38.68,4.0,10.04,Marți,Scuter,0.65,171
4.17,2.0,13.63,Vineri,Bicicletă,0.65,25
18.24,3.0,7.85,Miercuri,Scuter,0.37,50
6.24,3.0,21.68,Sâmbătă,Scuter,0.85,13
43.22,1.0,15.83,Miercuri,Camion,0.25,71
31.35,2.0,15.35,Vineri,Dubiță,0.15,54
16.88,4.0,16.84,Luni,Scuter,0.27,72
3.65,2.0,14.46,Duminică,Dubiță,0.34,5
15.89,2.0,7.48,Marți,Scuter,0.35,45
16.6,3.0,16.18,Luni,Camion,0.7,46
36.62,,17.74,Duminică,Camion,0.3,117
32.06,1.0,13.25,Joi,Bicicletă,0.71,141
44.42,3.0,18.36,Miercuri,Scuter,0.18,136
23.87,2.0,10.41,Duminică,Camion,0.23,49
6.42,1.0,10.32,Sâmbătă,Dubiță,0.56,16
35.81,1.0,9.42,Duminică,Scuter,0.93,83
38.16,4.0,12.58,Joi,Scuter,0.87,178
28.28,2.0,19.71,Miercuri,Bicicletă,0.97,161
38.66,1.0,19.42,Joi,Dubiță,0.69,60
24.94,3.0,12.74,Vineri,Bicicletă,0.71,168
